rank,risk_id,cluster_id,title,risk_category,business_function,event_type,primary_asset_or_service,score_used,likelihood_used,impact_used,risk_score_baseline,risk_score_adjusted,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary,impact_narrative,evidence_count,start_date,end_date,publishers,urls_sample,impact_keywords,entity_summary,cluster_summary
98,RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000173,Critical application outage disrupts business operations,Technology,Identity & Access Management,OUTAGE_APPLICATION,applications,8,2,4,8,,Weak,Low,False,,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting applications in Identity & Access Management. Evidence window: 2026-04-02 to 2026-04-02 across 1 source(s). Representative sources: Is Chime App Down Now? Hundreds of Users Right Now: Outage Hits Mobile Banking Amid Peak Morning Rush - International Business Times Australia,"OUTAGE_APPLICATION affecting applications can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-04-02,2026-04-02,International Business Times Australia,https://news.google.com/rss/articles/CBMixwFBVV95cUxQMDVkT0pnYjlaaF9XOEMyQVdWaV9ycXJ6ZFhSc2FsRFc4M3hnTXAyODRHZzRINzYzak12ZWlZT3FWQmF5VFpucGwySDVPdHRCTHZyd244SGRsRzI4aDZleWlMTlE3ZHUxXzlubmNQcjVJS3AzWlJIYV9HdlhseU51NkZLaEJBelN4T01jVFFHeGtreHFSZXMwMHQzY0tjN244Wk5iU1UzM3pOZWJlRnpDVnp4TzRZSmdLaVFRUFNHQ0FDUVd0T2VJ?oc=5,outage,,OUTAGE_APPLICATION affecting applications in Identity & Access Management.
99,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000183,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,SECURITY_BREACH,UNKNOWN,8,2,4,8,,Weak,Low,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,Risk signal (Weak): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-20 to 2026-04-20 across 1 source(s). Representative sources: Vercel breached via compromised third-party AI tool - Help Net Security,"SECURITY_BREACH affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",1,2026-04-20,2026-04-20,Help Net Security,https://news.google.com/rss/articles/CBMia0FVX3lxTE5WcmQ2TndkU1ZKS1pfaEViei1DS2h4YWlRSTNCU0JzUDRjVGxZZHZtZnpQbE84cHZ4UW51U2gwT1pVOWN4VGluUmZYUHA1aDZyUWVJeWFSQjVQZFZ0UTZ5MnZYQ3dIZ0FsQnhV?oc=5,,,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.
100,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000195,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,SECURITY_BREACH,UNKNOWN,8,2,4,8,,Weak,Low,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,Risk signal (Weak): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-22 to 2026-04-22 across 1 source(s). Representative sources: Discord-Linked Group Accessed Anthropic’s Claude Mythos AI in Vendor Breach - Hackread,"SECURITY_BREACH affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",1,2026-04-22,2026-04-22,Hackread,https://news.google.com/rss/articles/CBMiekFVX3lxTE81NEtrTnFyZ1M2ZmdEelkyV2dOczFvRVlwMDdsTTJNbWd3YU9ZVlk1WnlYa1p4R19EX21MdzJsbXFUaHdiSDFtcmFENjJHM3BkMElTWlhCbmpKTnAwVjVRVDhSTUo3VGl1cWpHeXlGNjVJeGdkNTVwZFVn?oc=5,breach,,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.
101,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000196,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,SECURITY_BREACH,UNKNOWN,8,2,4,8,,Weak,Low,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,Risk signal (Weak): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-22 to 2026-04-22 across 1 source(s). Representative sources: Anthropic investigating possible breach of its Mythos AI model - CBS News,"SECURITY_BREACH affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",1,2026-04-22,2026-04-22,CBS News,https://news.google.com/rss/articles/CBMieEFVX3lxTFBRNHQ5M3BReTJqMkRGMTlDZm5vYUlYSUlqZ3Z4UTdPZWxnbDdHcXBQNVJxMk1ickpMYkJ4MG8wSDBZV0VvWnVPbml1cTN0alB4dGl0NWdOdnMxem5tUkFUVy1DTmkxN2NJazZBeTJ5dzZHZzdoN1J6TdIBfkFVX3lxTFBDb1BkcHk5TnA4enhsVWtPYXA3UzhsN3gwNkhiYVRIcFQzci01c1h2a3R4VXdNLTh1UGNHemU0Nkp4U0Q5S3ZuakRQQ0xsQ0UxN2JvclFTV1NNcGxGT20ySk5MNmFBS3h5Nmw2Vk5PcDFyR3UtTGs4emRVYVZPQQ?oc=5,breach,,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.
102,RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000200,Critical application outage disrupts business operations,Technology,Supplier Integration,OUTAGE_APPLICATION,applications,8,2,4,8,,Weak,Low,False,,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting applications in Supplier Integration. Evidence window: 2026-04-23 to 2026-04-23 across 1 source(s). Representative sources: Natural gas outage affecting southwest Butte - NBC Montana,"OUTAGE_APPLICATION affecting applications can disrupt Supplier Integration, causing operational delays and recovery complications.",1,2026-04-23,2026-04-23,NBC Montana,https://news.google.com/rss/articles/CBMihAFBVV95cUxOTnFXbmdzVFZ5dC1nZ0JYMUwxNS1RbWtXRGtDUGxuS1FGVks0bHdfU3dMZTZIZi1LNkNieG1hQmNuUGVzT1RrdnotdERVSFlTZUxCMVo4LVRRNVFtalkzZXdyZ2hsNlNmYWk4aDlZSUI4eF9meGE4NXNjVXNnZ3M2dzBzOGg?oc=5,outage,,OUTAGE_APPLICATION affecting applications in Supplier Integration.
103,RISK-UNKNOWN-SYSTEMS-C2037A8F,CL-000080,UNKNOWN risk affects Network Infrastructure,Technology,Network Infrastructure,UNKNOWN,systems,6,2,3,6,,Weak,Medium,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting systems in Network Infrastructure. Evidence window: 2025-11-26 to 2025-11-26 across 1 source(s). Representative sources: Microsoft loses two senior AI infrastructure leaders as data center pressures mount - Network World,"UNKNOWN affecting systems can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2025-11-26,2025-11-26,Network World,https://news.google.com/rss/articles/CBMizgFBVV95cUxNZjVrUTQ4dkwtaXJmZHJ4LTU2VldMdEtBd3VHclBGVHVIMUl4VEp6dGZhYkNTOV9HbUdXMGVXc1BndFZiRlNTOXp3S0xPTVJwZlFmbnp3Z1FtcjZ3MFFrLXUwa0cxWjd3aGRkUHdtRkZzZ294RXdhLXltWk9SaUkxZnVSWHMxYU9RUHFhNGp6T00yZDZNOW0ydTN0V2hxWnNfelV2MHEyRE9MQm5mYTdGYjlfZV9fUmtfRGlRMEpIUk9JRUZ0M2ZWSEVkbnlFZw?oc=5,,,UNKNOWN affecting systems in Network Infrastructure.
104,RISK-UNKNOWN-SYSTEMS-C2DF56FE,CL-000098,UNKNOWN risk affects Cybersecurity,Technology,Cybersecurity,UNKNOWN,systems,6,2,3,6,,Weak,Medium,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting systems in Cybersecurity. Evidence window: 2026-01-08 to 2026-01-08 across 1 source(s). Representative sources: Critical infrastructure facing cyber surge in OT and supply chains in 2026 - SC Media,"UNKNOWN affecting systems can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2026-01-08,2026-01-08,SC Media,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNbm9SY08tc0ZHaWJDYXdleXY5QTMySjZZOEwySDdMZks2RU9hUVVjckdkM0ZJSDNlSnhHbEFZWDh5SzduRm9EazR1TzhFMERxNDBjZU1tSFJya3p2bWJoUVJfS2I2cDNkTGxsZTk0QVFjdUE0V2tZd0E2cURNMU9hb3cxcFRRS0tGdm8zYzh6TUprRGt3elJIZ0JsR1Rnb09XVXZlT2pCdzUxQQ?oc=5,,,UNKNOWN affecting systems in Cybersecurity.
105,RISK-UNKNOWN-NETWORK-7CFD7EC8,CL-000115,UNKNOWN risk affects Network Infrastructure,Technology,Network Infrastructure,UNKNOWN,network,6,2,3,6,,Weak,Medium,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting network in Network Infrastructure. Evidence window: 2026-02-02 to 2026-02-02 across 1 source(s). Representative sources: Opinion: SpaceX’s satellite data center plan is unhinged - Fierce Network,"UNKNOWN affecting network can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2026-02-02,2026-02-02,Fierce Network,https://news.google.com/rss/articles/CBMikgFBVV95cUxQeHRyYktJVVN3bXRfU3BOdlNHWlRBdlpsUHhTWTJCdmxCR20tbFhIMldfRWExSFZ4N2JLNE9VSDdfWUVqQ1VtVlB6R2gxdEVObGFjZUtyRGhCTFBBcDRTOFRhcUg3ZHMwSkF1TkNpckN0eG1peFVHRWwtMzN5OExWQmlOcmZaWmJEYW41c2Zib3RhUQ?oc=5,,,UNKNOWN affecting network in Network Infrastructure.
106,RISK-INTEGRATION_FAILURE-API-00793A66,CL-000116,Integration disruption interrupts partner and supplier transactions,Technology,Transportation & Logistics,INTEGRATION_FAILURE,api,6,2,3,6,,Weak,Medium,False,,Add alternate transaction paths | Implement queue buffering,NIST SI-4; NIST CP-2; ISO22301 8.4,Risk signal (Weak): INTEGRATION_FAILURE affecting api in Transportation & Logistics. Evidence window: 2026-02-03 to 2026-02-03 across 1 source(s). Representative sources: Anthropic Fixes Claude Code API Outage - Let's Data Science,"INTEGRATION_FAILURE affecting api can disrupt Transportation & Logistics, causing operational delays and recovery complications.",1,2026-02-03,2026-02-03,Let's Data Science,https://news.google.com/rss/articles/CBMihwFBVV95cUxNMEpFbi1tc2RENFdsQlBqREY2YmI0VEtmVG92WE5zMjF0QTl0VzJtNnZpbnJwY21WQUpraXgtTFVyU2Y5Yy0zOWpYZWNQMk5GLXR2SkNGZkVTREpNNzVudmM5eG9SemFERGhRTXFnZU93Z0hrQWdZaTIzd3VTSWpTY20wbWlxTzA?oc=5,outage,,INTEGRATION_FAILURE affecting api in Transportation & Logistics.
107,RISK-UNKNOWN-SYSTEMS-9E99C579,CL-000142,UNKNOWN risk affects Transportation & Logistics,Technology,Transportation & Logistics,UNKNOWN,systems,6,2,3,6,,Weak,Medium,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting systems in Transportation & Logistics. Evidence window: 2026-03-03 to 2026-03-03 across 1 source(s). Representative sources: Carrier Logistics Enhances Mapping and Dispatch System - Heavy Duty Trucking,"UNKNOWN affecting systems can disrupt Transportation & Logistics, causing operational delays and recovery complications.",1,2026-03-03,2026-03-03,Heavy Duty Trucking,https://news.google.com/rss/articles/CBMilwFBVV95cUxOOHVBazVVTDl5akFNTU9oMnJseE9Ua0xESjBfLXg1NUZDT2ZyeHNHRVdzU2dOdFdGQ21xRVhsUFFzRWNkTVZ2RUkwV2hkc1RMcWRzWDBBN2ZsZFFPZm8wUWRzTVVpTDlnOU16S05FU3EtSnlaWEdPUE1MTEZIZnQ0Z0I0ZUdiUk44YzBqT2ktRVBDcWN0cWpZ?oc=5,,,UNKNOWN affecting systems in Transportation & Logistics.
108,RISK-INTEGRATION_FAILURE-API-00793A66,CL-000161,Integration disruption interrupts partner and supplier transactions,Technology,Transportation & Logistics,INTEGRATION_FAILURE,api,6,2,3,6,,Weak,Medium,False,,Add alternate transaction paths | Implement queue buffering,NIST SI-4; NIST CP-2; ISO22301 8.4,"Risk signal (Weak): INTEGRATION_FAILURE affecting api in Transportation & Logistics. Evidence window: 2026-03-18 to 2026-03-18 across 1 source(s). Representative sources: Claude down, when will AI chatbot be back up, and how to fix API error 500 message? Claude outage affected - The Economic Times","INTEGRATION_FAILURE affecting api can disrupt Transportation & Logistics, causing operational delays and recovery complications.",1,2026-03-18,2026-03-18,The Economic Times,https://news.google.com/rss/articles/CBMi6gJBVV95cUxPVmticWJQWVFkZ2Rqb1hUTTdwczJidGlpNEVOWU9ZUmRrNGprWVdhZUZFcTViTVd5YXdWOVVmdmk3QW9sZzVmNXVTVU4tQUFpOTVVNENQWEJydU1kWEZDMEZ6dXpmQWYxVlJlNXlvVVZLS0F1bHhKdWt2T29HVHhwVGxZeVpMcUFYdjB3MzRRMmgwNHcyQy1ENDcwQXJpMElkN2F0Y1I1RV9PTzY5VzB3UzNJRXhKRTltd1R3WHlqZ2pOZF9CYTFVZHhUalFsS1YxR3I3SXI5MkFXT0NDRTR6T2JiY0dyb1ZLdnhibHYzckIzLUNJZ3VCVkdWcXVsWmxGRzg3QmJlUjZOaU1xTXFSbXR4S3h4V2pPTGtxVGhud2Q0QW1lWG50YXRzc19EVl9GSnhHcDloUWh1T2dsLU1aQ2k3NVJNUnBCYlZ1a0FnblZaUVMzVGM0QnIxYlBnR2tlR1pENVN3RXVMd9IB7wJBVV95cUxNNTlzRkVoMnRKaFJ5X01vZ0NMcmw5NUNYMklzTEozZHM1QldBX0xqWmZMWTJYcnd0MEhYQ1FKVTRVWEktdTNSUmxBMnRhLXlMR2lCa3k5dnVQclhZVGloSHZYT2FxZ3VHWXRmaDNINjdvNHFIMTR4UTExSmowZzlidVFtbFVBTjFWaHYxai0tRmJGNkJOYUNCcGNqaEpYV3BWYkhFN0tKbTBQM1AxMXBaQnM2REtlZ25LZDA4MzRDenZDYkhyQXBOekktdDF3bnNKdDl3OC1RNzF2MHpfTXh5d0FwNllIQ1pXMGpzRUxCX0RlRXV0dDE3MjNwZmpSNzRFeXRJOTNWMFdTcFo1bU5YSGZLd3oxS1BjTjhnb2czcnptblJES2VxMDNtMWtvOFRxSHJkQUNrZ0FBREduTlk3Vk04QlQ3RzNxdGwzZ0puYXpVVWRaU3Z2ZnFPLVc3cFdMVHRucFVXbWxHaFYtR2M4?oc=5,outage,,INTEGRATION_FAILURE affecting api in Transportation & Logistics.
109,RISK-UNKNOWN-CLOUD-7BEDDA91,CL-000178,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,UNKNOWN,cloud,6,2,3,6,,Weak,Medium,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting cloud in Distribution Operations. Evidence window: 2026-04-14 to 2026-04-14 across 1 source(s). Representative sources: ORCA Hybrid Warehouse System | Cloud & Local Operation | Synergy Logistics - News and Statistics - IndexBox,"UNKNOWN affecting cloud can disrupt Distribution Operations, causing operational delays and recovery complications.",1,2026-04-14,2026-04-14,IndexBox,https://news.google.com/rss/articles/CBMipwFBVV95cUxNMjg3WVI1Y19mNnU0WERyallOY0tmNGF4UTFQcnY5a0I1SS0xVnpzbGJ3X0pvaXlQbFBHXzBHXzduU3Rkdy1uMGU2WEw1NjNLSDJoS2cxejl4UFJlUDl6NUZGZlJtLTdXNGpESXFiYlZpUnp6SXhLWURZaG90Z3VPUDl0OHIxcVpxcHBRZ3lmTUVNYjFFdkkycGJNcDJaU3RIcWxCZ1ZjVQ?oc=5,,,UNKNOWN affecting cloud in Distribution Operations.
110,RISK-INTEGRATION_FAILURE-API-00793A66,CL-000179,Integration disruption interrupts partner and supplier transactions,Technology,Transportation & Logistics,INTEGRATION_FAILURE,api,6,2,3,6,,Weak,Medium,False,,Add alternate transaction paths | Implement queue buffering,NIST SI-4; NIST CP-2; ISO22301 8.4,"Risk signal (Weak): INTEGRATION_FAILURE affecting api in Transportation & Logistics. Evidence window: 2026-04-15 to 2026-04-15 across 1 source(s). Representative sources: Claude, Yahoo down? How to solve API 500 error amid massive outage; company responds | Hindustan Times - Hindustan Times","INTEGRATION_FAILURE affecting api can disrupt Transportation & Logistics, causing operational delays and recovery complications.",1,2026-04-15,2026-04-15,Hindustan Times,https://news.google.com/rss/articles/CBMihgJBVV95cUxPYzNfS1hXNkQ2elJ6dFQ1V3BxMENBR0xsTVc4dWxaVmFKQzA0OHNPWHRvbTM1SUNvaXRwaU1sekgyMEltSFpmY2RtSTJFRXlRUU41dUZ4dWRNV016N19PcGM5ZG5FNlpqMF9WYWw1RHdkVDNEc1gycWtpOEF2TlltY2MtMjVxZXdHT0htOVp5Vy1XcW9uTVEyZDlmTVAtLWY3cmlmemxGd2V3cm9jN0VSTmZvRzJxN0hyVHZmcFFEVVBxbXlPTjdYSnUtaDQtaW0zWmMzbUlEXzlIZ1lPOVV0RmNHNjkwMV9YcV9ZTDRibXYwdHFhVnowV2VVNWVSazdhOXY3OGNR0gGLAkFVX3lxTE1IWl96aTZBLWZIU1F0bFYybHhYOEE2M1JTTmhaZDh0RmVoUUhIQ2dWNEdBVmktYlY4RHRqdGZxZFdfMlVNZ3FrcGlyUTAyRmpMTU8wSGJVUDEwR2RyWTBxTWY1TzNyWlM3UG43d1lnM2xYOVJnT09sZTJid2l0blROZE55Ul9FLVFjZVk3ZHFwdmh6TE9mSVFHT3lVcjZRVnc3OGRuS1kydzBNLUh6ZHd1eW01M1Q1Z0pZTndPUGx0SlI4VGZIelNZUHVqMGRaVzFMNGxJYktTajU1aXlnUTlzZTM5NzBwd0ZiNl9oTTBPUTluel9aU282elJKaGFnbWhPTU9iMHlyVjdjbw?oc=5,outage,,INTEGRATION_FAILURE affecting api in Transportation & Logistics.
111,RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000001,UNKNOWN risk affects Order Processing,Technology,Order Processing,UNKNOWN,UNKNOWN,6,2,3,6,,Weak,Low,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting UNKNOWN in Order Processing. Evidence window: 2015-10-15 to 2015-10-15 across 1 source(s). Representative sources: The Financial Crisis: Lessons for the Next One - Center on Budget and Policy Priorities,"UNKNOWN affecting UNKNOWN can disrupt Order Processing, causing operational delays and recovery complications.",1,2015-10-15,2015-10-15,Center on Budget and Policy Priorities,https://news.google.com/rss/articles/CBMigAFBVV95cUxPeGpWMGtucVhZbE1qTDBTa1RhY0ZXajJkT05wTjNlRDZoUjRmY185a1h5bVhrWFRqczdxOTRGRDhkLU4xVUdxUWFaSU54Zm5yMDFtdTc4QTVtQzZzVnU5TVIzLUpxZVRDMGk2X3JhOGc5QlI2WXRRdEdvUHF2bXBRMA?oc=5,,,UNKNOWN affecting UNKNOWN in Order Processing.
112,RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000002,UNKNOWN risk affects Order Processing,Technology,Order Processing,UNKNOWN,UNKNOWN,6,2,3,6,,Weak,Low,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting UNKNOWN in Order Processing. Evidence window: 2018-09-12 to 2018-09-12 across 1 source(s). Representative sources: Major Players in the 2008 Financial Crisis: Where Are They Now? - Investopedia,"UNKNOWN affecting UNKNOWN can disrupt Order Processing, causing operational delays and recovery complications.",1,2018-09-12,2018-09-12,Investopedia,https://news.google.com/rss/articles/CBMingFBVV95cUxQd0d1TGRQQnNadFZjdHBORTg4M25lcnE1SVlscXFlNV9GT1dmS1JIWlFjZ0RCVG41M2lLOFZMVDB3WG9oZmFfaERySE1zVDNiTWh5V0NRaGlrNzd4VlBGOGZaQ2JETzQydWU2YkpxQnJOb2wzb0FIRDdmdVpBN2wxZWNjbWFBREdYTWhYcXlsT0ZUbEJMeExBOFpiZHpMdw?oc=5,,,UNKNOWN affecting UNKNOWN in Order Processing.
113,RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000003,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,Technology,Security Operations,DESTRUCTIVE_CYBER_ATTACK,systems,6,2,3,6,,Weak,Low,False,,"Isolate affected systems, initiate clean-room recovery, validate backups for integrity, and perform forensic analysis before restoration",Cyber Resilience / Destructive Malware,Risk signal (Weak): DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations. Evidence window: 2022-01-31 to 2022-01-31 across 1 source(s). Representative sources: How CrowdStrike Protects Against Data-Wiping Malware - CrowdStrike,"DESTRUCTIVE_CYBER_ATTACK affecting systems can disrupt Security Operations, causing operational delays and recovery complications.",1,2022-01-31,2022-01-31,CrowdStrike,https://news.google.com/rss/articles/CBMilwFBVV95cUxPZ3ZNM0VfZ2t4RDEwNXNnOHFINUpJeWEwaHZjRHhzcjZHYm5tdlFYbHJfX3BDUlFnWjNlNjNzcFBRMXRsWDRvRzhlZnQzaGEwZ0FpTTZXN0xiMXllTkh5QlJHSW1TR1hnTDlJeWpWcHZuN0hBaTdLUTFZRXVwS0RSSEE4WXA3STM4LWVRSy1ibExlWENIM0tV?oc=5,,,DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations.
114,RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000004,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,Technology,Security Operations,DESTRUCTIVE_CYBER_ATTACK,systems,6,2,3,6,,Weak,Low,False,,"Isolate affected systems, initiate clean-room recovery, validate backups for integrity, and perform forensic analysis before restoration",Cyber Resilience / Destructive Malware,Risk signal (Weak): DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations. Evidence window: 2022-03-16 to 2022-03-16 across 1 source(s). Representative sources: Detect CaddyWiper: Another Destructive Data Wiper to Attack Ukrainian Networks - SOC Prime,"DESTRUCTIVE_CYBER_ATTACK affecting systems can disrupt Security Operations, causing operational delays and recovery complications.",1,2022-03-16,2022-03-16,SOC Prime,https://news.google.com/rss/articles/CBMipwFBVV95cUxQUF83VUVkUFVtZllPdkFnWFMyazVQbVlNdUtma1JxWXRySmxQc2k5REE4QjgxUjluRUVYenBrX1QtcFFyTjByRDRQV2tsSjloelh6SUVqSzBjeHNLdElEWXV2THpLNGNwLTlSWkVtRXNYY2xxb1hhSlk2QUZfVG5HcXpOZVY0UUxnbVdjeFdReXBzVV81akFlVGtGUzJWUURkSUdqNTVqQQ?oc=5,,,DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations.
115,RISK-UNKNOWN-SYSTEMS-7536EA1B,CL-000005,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,UNKNOWN,systems,6,2,3,6,,Weak,Low,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting systems in Distribution Operations. Evidence window: 2022-03-31 to 2022-03-31 across 1 source(s). Representative sources: Chipotle tests a high-tech inventory tracking system - Restaurant Business,"UNKNOWN affecting systems can disrupt Distribution Operations, causing operational delays and recovery complications.",1,2022-03-31,2022-03-31,Restaurant Business,https://news.google.com/rss/articles/CBMinwFBVV95cUxQYUlVdWRjbF9sNjkwODJOa3pyZ2d2YlJHRS1LNDl3NWZvN3RTdDZhcHUyZUxoTWRZMkxaWnhQS19OSmZmTUhiM3FZelRxUlUwUmlqOEJiSWVza245aFByVUNMNmRXSExGY0RPaGdoS1NtYlF5TnBRbTlvWnhWZVZQVGxIcENCNGNud2pfWEJsZUdwT0NDWldtaTFBLS1XNmc?oc=5,,,UNKNOWN affecting systems in Distribution Operations.
116,RISK-UNKNOWN-SYSTEMS-7536EA1B,CL-000008,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,UNKNOWN,systems,6,2,3,6,,Weak,Low,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting systems in Distribution Operations. Evidence window: 2023-07-17 to 2023-07-17 across 1 source(s). Representative sources: 20 of the Best Warehouse Management System Solutions to Consider - Solutions Review,"UNKNOWN affecting systems can disrupt Distribution Operations, causing operational delays and recovery complications.",1,2023-07-17,2023-07-17,Solutions Review,https://news.google.com/rss/articles/CBMisgFBVV95cUxOdEU2SXFlSkJVT0lPbEcxNk1CUHl5akpYTk10dWlYQ20tQThyMWgxbHJpakZieUNMOEpHbEV6amxzcC1kRGZaX3p1Z3IwekNVc1pMR3hyNW11MlRmbWhQM1dpUDJlRkVxbkhsanR0dl9DTGIxQ0FVOExPVnIyUGNReGR6aHRoNHhXT09lNnZ0bTFUcmRWUXhmUWVaSW1NMDloQTBsSVF0MEtydHhDZjdXeEFR?oc=5,,,UNKNOWN affecting systems in Distribution Operations.
117,RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000009,UNKNOWN risk affects Order Processing,Technology,Order Processing,UNKNOWN,UNKNOWN,6,2,3,6,,Weak,Low,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting UNKNOWN in Order Processing. Evidence window: 2023-11-16 to 2023-11-16 across 1 source(s). Representative sources: Continuous vetting: keep your finances in order - army.mil,"UNKNOWN affecting UNKNOWN can disrupt Order Processing, causing operational delays and recovery complications.",1,2023-11-16,2023-11-16,army.mil,https://news.google.com/rss/articles/CBMiigFBVV95cUxOUnB2b0EwQ1lBZzVVSXp5RDhJbFFSOVhnc3VrZVJCZVBYbUFFajU2NnVlWkZ5N2pMamJZNFVZOHRNc1U1N2ZGMGVWTWlWZlY3bFdNTmQ1cnZQLUFsMmZLVHd0cmt4VE1Odkp1amdXVV9OTUoyYmE3S3hVR0xEYVdpWWZBS24wNWF3SlHSAY8BQVVfeXFMTnRKRE4xdDM5eVlQNzhpMVJ6Q3lmSlRsaDdqVGlfSGFOUnZWSFJuMzJ1RXpEQlNBSUhKQ1h0NC1UcHhFd0NPU1g3aFpjNGVKMzVyMmlhLTltaE1yYVRBQzExNExnazdvR1BsakVsNGI3WFg0QkY0SDdRT2NBN2JuNEpCY1RZQ241cEp0LWJoblE?oc=5,,,UNKNOWN affecting UNKNOWN in Order Processing.
118,RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000010,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,UNKNOWN,UNKNOWN,6,2,3,6,,Weak,Low,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting UNKNOWN in Distribution Operations. Evidence window: 2023-12-08 to 2023-12-08 across 1 source(s). Representative sources: Warehouse drones scan codes to help track inventory - Indianapolis Business Journal,"UNKNOWN affecting UNKNOWN can disrupt Distribution Operations, causing operational delays and recovery complications.",1,2023-12-08,2023-12-08,Indianapolis Business Journal,https://news.google.com/rss/articles/CBMihwFBVV95cUxNZHNLTFc3VnJKWVkwMnBqN0RqQjY3ZUZybm1rMTVJNmY4aV9CcjlqM2tib20wb3k2Q1k1c1B0X1NUaUNEd1Z4WFNybnBwNkpTSnRrbDNBNXZYODNreG1Ca1kxc0NkM3R5eTZJRks0WHBMcVlOZWZDX1pOc3FvTHRNUkN0a2twVGM?oc=5,,,UNKNOWN affecting UNKNOWN in Distribution Operations.
